FactorRank,Team,EFG,OPPEFG,TOVPCT,OPPTOV,ORB,DRB,OPPORB,OPPDRB,FTR,OPPFTR,EFGTOTAL,TOVTOTAL,REBSUM,OPPREBSUM,REBTOTAL,FTRTOTAL,Dec,FourFactors
131,Tulane,52.20%,52.90%,18.30%,24.90%,23.50%,70.80%,29.20%,76.50%,0.405,0.213,-0.0028,-0.0165,94.30%,105.70%,-0.0228,0.0288,0.0197,1.97
132,S Utah,44.40%,45.60%,23.00%,18.90%,31.30%,79.20%,20.80%,68.70%,0.329,0.378,-0.0048,0.01025,110.50%,89.50%,0.042,-0.00735,0.0196,1.96
133,South Dakota,54.80%,48.30%,17.10%,13.30%,20.90%,78.10%,21.90%,79.10%,0.361,0.316,0.026,0.0095,99.00%,101.00%,-0.004,0.00675,0.01925,1.925
134,Delaware,53.40%,46.30%,15.80%,17.10%,20.60%,75.10%,24.90%,79.40%,0.264,0.233,0.0284,-0.00325,95.70%,104.30%,-0.0172,0.00465,0.0191,1.91
135,Loyola-Chi,56.30%,51.10%,20.90%,22.00%,17.00%,79.10%,20.90%,83.00%,0.382,0.31,0.0208,-0.00275,96.10%,103.90%,-0.0156,0.0108,0.01875,1.875
136,Alabama,52.00%,48.00%,22.50%,18.00%,30.90%,72.20%,27.80%,69.10%,0.345,0.335,0.016,0.01125,103.10%,96.90%,0.0124,0.0015,0.01865,1.865
137,E Michigan,49.60%,48.60%,24.50%,26.40%,18.60%,74.90%,25.10%,81.40%,0.514,0.275,0.004,-0.00475,93.50%,106.50%,-0.026,0.03585,0.0186,1.86
138,Brown,46.90%,49.70%,22.10%,18.60%,35.50%,75.50%,24.50%,64.50%,0.292,0.344,-0.0112,0.00875,111.00%,89.00%,0.044,-0.0078,0.01625,1.625
139,Mass Lowell,50.80%,51.40%,18.80%,17.80%,28.70%,72.50%,27.50%,71.30%,0.338,0.24,-0.0024,0.0025,101.20%,98.80%,0.0048,0.0147,0.0146,1.46
140,Richmond,57.40%,47.10%,15.90%,19.90%,23.40%,71.60%,28.40%,76.60%,0.197,0.308,0.0412,-0.01,95.00%,105.00%,-0.02,-0.01665,0.01455,1.455
141,Bryant,48.20%,44.60%,19.90%,18.00%,29.20%,73.30%,26.70%,70.80%,0.269,0.303,0.0144,0.00475,102.50%,97.50%,0.01,-0.0051,0.01455,1.455
